name,position,team,latest_value,expected_points,std_points,selection_freq
Gustavo Henrique Furtado Scarpa,MID,Nott'm Forest,45,0.0,0.0,0.0
Habeeb Ogunneye,DEF,Man Utd,40,0.0,0.0,0.0
Hakim Ziyech,MID,Chelsea,54,0.0,0.0,0.0
Halil DerviÅoÄlu,FWD,Brentford,45,0.0,0.0,0.0
Hamed TraorÃ¨,MID,Bournemouth,47,1.92510511491744e-09,0.0,0.0
Han-Noah Massengo,MID,Burnley,49,0.004524936096964526,0.0,0.0
Hannes Delcroix,DEF,Burnley,40,0.003870111000711485,0.0,0.0
Hannibal Mejbri,MID,Man Utd,43,0.00010649884615501214,0.0,0.0
Harrison Ashby,DEF,Newcastle,40,0.0,0.0,0.0
Harrison Reed,MID,Fulham,45,1.0615391858402927,1.3564659966250536,0.0
Harry Arter,MID,Nott'm Forest,43,0.0,0.0,0.0
Harry Kane,FWD,Spurs,125,0.0,0.0,0.0
Harry Toffolo,DEF,Nott'm Forest,44,1.7557699540016973,0.7483314773547882,0.0
Harvey Barnes,MID,Newcastle,62,0.907091714255612,0.6324555320336759,0.0
Harvey Griffiths,MID,Wolves,45,0.0,0.0,0.0
Hjalmar Ekdal,DEF,Burnley,39,0.0004841594092835848,0.0,0.0
Hugo Bueno LÃ³pez,DEF,Wolves,44,0.17947558292284937,0.4,0.0
Hugo Lloris,GK,Spurs,47,0.0,0.0,0.0
Hwang Hee-chan,MID,Wolves,55,0.7318294944057202,1.2649110640673518,0.0
Hwang Ui-jo,FWD,Nott'm Forest,44,0.0,0.0,0.0
HÃ¡kon Valdimarsson,GK,Brentford,40,0.0,0.0,0.0
Ian Maatsen,MID,Chelsea,51,0.00047943888510585964,0.0,0.0
Ibrahim SangarÃ©,MID,Nott'm Forest,49,1.083878576333907,0.8,0.0
Idrissa Gueye,MID,Everton,48,0.6490764855810048,1.0954451150103321,0.0
Igor Julio dos Santos de Paulo,DEF,Brighton,43,0.5067823202071885,0.4898979485566356,0.0
Iliman Ndiaye,FWD,Sheffield Utd,55,0.0,0.0,0.0
IonuÈ Radu,GK,Bournemouth,43,3.999224952141895e-08,0.0,0.0
Isaac Hayden,MID,Newcastle,44,0.0,0.0,0.0
